3721809296: {'y': 22.9223089, 'x': 91.2637454, 'street_count': 3}
3721809300: {'y': 22.9224748, 'x': 91.2626729, 'street_count': 3}
4226287461: {'y': 22.9947798, 'x': 91.4566196, 'street_count': 3}
4226289290: {'y': 22.9996242, 'x': 91.4611242, 'street_count': 3}
4226289315: {'y': 22.9997909, 'x': 91.4624577, 'street_count': 1}
4226290894: {'y': 23.0000487, 'x': 91.4611076, 'street_count': 1}
4226290994: {'y': 22.9983219, 'x': 91.4615468, 'street_count': 3}
4226292969: {'y': 22.9945167, 'x': 91.4635982, 'street_count': 3}
4226294402: {'y': 22.9959141, 'x': 91.4608515, 'street_count': 3}
4226296425: {'y': 22.9929518, 'x': 91.4585303, 'street_count': 3}
4226296467: {'y': 22.9954331, 'x': 91.4686274, 'street_count': 3}
4226296479: {'y': 22.9954215, 'x': 91.4705235, 'street_count': 3}
4226303261: {'y': 22.997801, 'x': 91.4902994, 'street_count': 1}
4226303493: {'y': 22.9978707, 'x': 91.489547, 'street_count': 3}
4226303495: {'y': 22.9975797, 'x': 91.4895359, 'street_count': 3}
4226303500: {'y': 22.9978777, 'x': 91.4897589, 'street_count': 3}
4226305468: {'y': 22.9940669, 'x': 91.4910039, 'street_count': 1}
4230840201: {'y': 22.8995116, 'x': 91.2574858, 'street_count': 3}
4230840214: {'y': 22.9005474, 'x': 91.2567067, 'street_count': 1}
4384823269: {'y': 23.013284, 'x': 91.3957272, 'street_count': 3}
4384823272: {'y': 23.0131371, 'x': 91.3948616, 'street_count': 3}
4552757833: {'y': 22.9938228, 'x': 91.461321, 'street_count': 3}
4595783991: {'y': 22.8986326, 'x': 91.2708234, 'street_count': 3}
4595783998: {'y': 22.8510527, 'x': 91.4048518, 'street_count': 3}
4595784012: {'y': 22.8567038, 'x': 91.4228376, 'street_count': 3}
4595784015: {'y': 22.8582745, 'x': 91.4247213, 'street_count': 3}
4595784040: {'y': 22.864439, 'x': 91.4511421, 'street_count': 3}
4595784041: {'y': 22.8645057, 'x': 91.4517724, 'street_count': 3}
4595784043: {'y': 22.8640658, 'x': 91.4529526, 'street_count': 3}
4595784047: {'y': 22.8619576, 'x': 91.4541945, 'street_count': 3}
4595784050: {'y': 22.8604674, 'x': 91.4540737, 'street_count': 3}
4595784056: {'y': 22.8464483, 'x': 91.383566, 'street_count': 3}
4595784059: {'y': 22.8387412, 'x': 91.3604514, 'street_count': 3}
4595784060: {'y': 22.848505, 'x': 91.3893172, 'street_count': 3}
4595784067: {'y': 22.8455785, 'x': 91.3919307, 'street_count': 3}
4603644313: {'y': 22.8483557, 'x': 91.3888757, 'street_count': 3}
4603644314: {'y': 22.849216, 'x': 91.3918318, 'street_count': 3}
4603644346: {'y': 22.8859263, 'x': 91.4022931, 'street_count': 3}
4603644375: {'y': 22.9356154, 'x': 91.4067604, 'street_count': 3}
4603644376: {'y': 22.9417368, 'x': 91.4064776, 'street_count': 3}
4603644379: {'y': 22.9452166, 'x': 91.4069515, 'street_count': 3}
4603656389: {'y': 22.9856523, 'x': 91.4122858, 'street_count': 3}
4603656400: {'y': 22.9875856, 'x': 91.4176233, 'street_count': 3}
4603656410: {'y': 22.9935011, 'x': 91.4078918, 'street_count': 3}
4603658945: {'y': 22.8347082, 'x': 91.4026465, 'street_count': 3}
4603663673: {'y': 22.9001271, 'x': 91.4670334, 'street_count': 3}
4603663679: {'y': 22.9084683, 'x': 91.4670012, 'street_count': 1}
4603664198: {'y': 22.8586599, 'x': 91.4264677, 'street_count': 4}
4603664219: {'y': 22.8327915, 'x': 91.4178196, 'street_count': 3}
4603664229: {'y': 22.8210025, 'x': 91.4114043, 'street_count': 1}
4603670922: {'y': 22.9318973, 'x': 91.4577159, 'street_count': 3}
4603670923: {'y': 22.9320158, 'x': 91.456922, 'street_count': 1}
4603670934: {'y': 22.9325419, 'x': 91.461601, 'street_count': 3}
4603670958: {'y': 22.9342341, 'x': 91.4678037, 'street_count': 3}
4603670959: {'y': 22.9338586, 'x': 91.4679834, 'street_count': 1}
4603670972: {'y': 22.9397944, 'x': 91.4657062, 'street_count': 3}
4603670979: {'y': 22.9444109, 'x': 91.4631527, 'street_count': 3}
4603670984: {'y': 22.946125, 'x': 91.462281, 'street_count': 3}
4603670985: {'y': 22.9464152, 'x': 91.4622139, 'street_count': 3}
4603678608: {'y': 22.9218914, 'x': 91.4569445, 'street_count': 3}
4603678610: {'y': 22.9186037, 'x': 91.4572342, 'street_count': 1}
4603678617: {'y': 22.9219482, 'x': 91.4594014, 'street_count': 3}
4603678666: {'y': 22.9171234, 'x': 91.4631109, 'street_count': 4}
4603678671: {'y': 22.9158535, 'x': 91.4634489, 'street_count': 3}
4603680033: {'y': 22.905483, 'x': 91.467082, 'street_count': 3}
4603697847: {'y': 22.9585164, 'x': 91.4323371, 'street_count': 1}
4603697857: {'y': 22.9518138, 'x': 91.4334437, 'street_count': 3}
4603697872: {'y': 22.9513791, 'x': 91.4227578, 'street_count': 3}
4603697873: {'y': 22.9501619, 'x': 91.4226183, 'street_count': 1}
